model,domain,mean,ci95,n,success_rate,gen_fail_rate,reliability,coverage,alpha3_rel,pillars,mean_gen_time_s,mean_total_tokens,alpha3_per_second,alpha3_per_1k_tokens,total_attempt_calls,mean_attempts_used,call_efficiency
mistralai/mistral-large-2512,macro,0.8878975264648756,,,,,,,,,,,,,,,
google/gemini-3-pro-preview,macro,0.17389658402917835,,,,,,,,,,,,,,,
google/gemini-2.5-flash-preview-09-2025,macro,0.4604301708016864,,,,,,,,,,,,,,,
openai/gpt-4.1-mini,macro,0.7615331528578412,,,,,,,,,,,,,,,
openai/chatgpt-4o-latest,macro,0.9764467648859523,,,,,,,,,,,,,,,
openai/gpt-5.1-chat,macro,0.8254345487394015,,,,,,,,,,,,,,,
anthropic/claude-opus-4.5,macro,0.8182079574669182,,,,,,,,,,,,,,,
anthropic/claude-haiku-4.5,macro,0.8312729212708919,,,,,,,,,,,,,,,
deepseek/deepseek-v3.2-exp,macro,0.4290162621160424,,,,,,,,,,,,,,,
qwen/qwen3-235b-a22b-2507,macro,0.8809115039276724,,,,,,,,,,,,,,,
mistralai/mistral-medium-3.1,macro,0.7152639723827523,,,,,,,,,,,,,,,
qwen/qwen3-max,macro,0.921060856413453,,,,,,,,,,,,,,,
moonshotai/kimi-k2-thinking,macro,0.5015025305330669,,,,,,,,,,,,,,,
